Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Міщенко,Леонід,Юрійович,Чоловік,1954.01.08,Педагог,селище Скалат,"сквер Тимірязєва 3-й, буд. 5 кв. 271, Соснівка , 32128",+380 19 266-23-78,qshutko@example.net
Іваненко,Миколай,Артемівна,Чоловік,2003.06.17,Водій,хутір Угнів,"узвіз Проїзний 3-й, буд. 702, Боярка, 40311",+380 (05) 570-45-20,kyrylo30@example.com
Гайденко,Герман,Маркелівна,Чоловік,1966.10.25,Перекладач,хутір Покров,"набережна Студентський 4-й, буд. 0 кв. 0, Василівка , 30636",+380 12 298-51-68,panas50@example.org
Засядько,Роман,Русланович,Чоловік,1975.09.18,Льотчик,селище Сніжне,"проспект Кладовищний, буд. 47, Богодухів, 24159",055 799-19-27,ykonoplia@example.net
Забіла,Ілля,Володиславівна,Чоловік,1975.06.23,Музикознавець,хутір Попасна,"площа Сергія Уточкіна, буд. 3 кв. 25, Хуст, 17673",976 48 27,iaryna32@example.org
Щириця,Хома,Мстиславович,Чоловік,1978.06.15,Клавішник,хутір Мерефа,"сквер Студена, буд. 43, Макіївка, 27060",+380 (08) 232-63-95,nkybkalo@example.org
Затовканюк,Сніжана,Тимофіївна,Жінка,1959.06.07,Електрослюсар,хутір Арциз,"площа Український 3-й, буд. 120 кв. 54, Пустомити, 19434",508-79-63,dmytrovyshniak@example.com
Чалий,Одарка,Русланович,Жінка,1997.06.24,Футболіст,хутір Болехів,"провулок Колективний, буд. 52 кв. 794, Борзна, 04367",044 158-53-07,levkoieshchenko@example.net
Макаренко,Ярина,Несторович,Жінка,2003.01.11,Менеджер,місто Пустомити,"парк Кострова, буд. 65, Нова Каховка, 96079",+380 23 934 28 84,dakhnoazar@example.net
Ємець,Тетяна,Григоріївич,Жінка,1962.07.22,Ювелір,селище Погребище,"парк Педагогічний, буд. 6, Курахове, 75436",076 304 12 13,veniiamyn75@example.net
Якименко,Леопольд,Валентинівна,Чоловік,1999.02.10,Єгер,селище Київ,"шосе Академіка Вавилова, буд. 44 кв. 025, Олександрівськ, 31898",+380 (43) 997-92-53,stanislav37@example.org
Башполченко,Юхим,Леонідович,Чоловік,1963.07.02,Агроном,місто Остер ,"набережна Сашка Хорошенка, буд. 095, Верхівцеве, 97414",922-59-04,pteslia@example.com
Гриценко,Остап,Юхимович,Чоловік,1962.03.02,Акушер,село Старокостянтинів,"узвіз Бугаївська, буд. 427, Гайворон, 03033",+380 24 070-34-98,bkhmara@example.org
Якимчук,Семен,Борисович,Чоловік,1990.12.03,Музикант,село Алчевськ,"узвіз Гаріна, буд. 907, Ананьїв, 24002",+380 82 397 67 49,lutsenkomarko@example.org
Лавренко,Остап,Амвросіївна,Чоловік,1959.11.09,Етнограф,селище Енергодар,"набережна Камишова, буд. 88 кв. 3, Монастириська, 84294",037 223-19-76,orysiazatovkaniuk@example.org
Дурдинець,Руслан,Анісіївна,Чоловік,1976.07.23,Антрополог,село Рогатин,"площа Гвоздичний, буд. 1 кв. 70, Пирятин, 11275",992-75-61,trokhym15@example.com
Александренко,Мілена,Ісааківна,Жінка,1978.07.13,Водій,селище Синельникове,"шосе Лінія 44-та, буд. 35 кв. 1, Рубіжне, 02475",042 799-37-41,zhres@example.net
Харченко,Еріка,Зеновіївна,Жінка,1951.11.22,Державний службовець,місто Малин,"провулок 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 24, Світлодарськ, 57015",072 51 70,babarychenkoruslan@example.org
Тригуб,Віолетта,Юстиніанівна,Жінка,1984.08.26,Футболіст,хутір Радехів,"набережна Платанова, буд. 549, Помічна, 72051",+380 12 952-55-91,rbevz@example.net
Лаба,Златослава,Валентинівна,Жінка,1955.07.18,Антрополог,село Хорол ,"провулок 1-ша Суворовська, буд. 809, Старокостянтинів, 15807",+380 22 606-04-28,oleksa79@example.org
Архипенко,Леон,Мар’янович,Чоловік,1988.11.24,Зоолог,селище Амвросіївка,"проспект Трудова, буд. 786, Ямпіль, 09409",+380 50 083-34-18,nazarenkotaras@example.com
Шухевич,Василь,Зеновіївна,Чоловік,1990.09.07,Стропальник,село Люботин,"проспект Кавказький, буд. 009, Середина-Буда, 82353",+380 55 613-20-06,fshchyrytsia@example.net
Корж,Андрій,Давидович,Чоловік,1990.04.29,Підприємець,село Миколаїв,"шосе Проїзний 3-й, буд. 307 кв. 65, Щастя , 26268",091 799 69 68,bohodar95@example.org
Червоненко,Микита,Несторович,Чоловік,1996.03.21,Кушнір,хутір Маріуполь,"провулок 10-та Суворовська, буд. 681 кв. 994, Біла Церква, 18785",+380 97 368-94-78,dkovpak@example.org
Литвиненко,Остап,Марківна,Чоловік,1990.04.18,Піаніст,місто Нетішин,"шосе Виноградна, буд. 74 кв. 377, Амвросіївка, 49154",+380 59 391-63-35,mykhailyna77@example.net
Рак,Яків,Несторович,Чоловік,1998.09.21,Бізнесмен,село Трускавець,"площа Патріотична, буд. 015 кв. 08, Добропілля, 19110",+380 10 576 62 79,tshcherban@example.net
Яременко,Ада,Глібівна,Жінка,1995.04.17,Ветеринар,село Снятин,"набережна Пересипська 7-ма, буд. 60, Заводське, 01042",079 788-60-69,zabilaklavdiia@example.net
Єщенко,Роксолана,Антінович,Жінка,2002.09.24,Співак,місто Узин,"парк Толбухіна, буд. 931, Тетіїв, 61392",+380 (58) 287-27-13,nvakarchuk@example.net
Іваничук,Василина,Всеславівна,Жінка,1953.12.25,Слідчий,хутір Гайсин,"узвіз Лермонтовський 2-й, буд. 1 кв. 983, Вишневе , 08864",778-97-31,mykolai78@example.org
Байрак,Богуслава,Федорович,Жінка,1968.08.17,Графік,місто Мостиська,"провулок Мусіна, буд. 864, Кіцмань, 43708",+380 99 063-16-11,akadeniuk@example.com
Верменич,Євген,Даніїлівна,Чоловік,1984.05.03,Композитор,місто Прип'ять ,"сквер Висоцького, буд. 7, Долинська, 39770",081 346 56 49,bvlokh@example.org
Башполченко,Аркадій,Анікітівна,Чоловік,1988.05.12,Каскадер,місто Сарни,"сквер Харківська, буд. 49, Олександрія, 48094",082-67-26,biarema@example.com
Усик,Спас,Філаретівна,Чоловік,2004.06.03,Фольклорист,місто Решетилівка,"сквер Учнівська, буд. 39, Чернігів, 94036",+380 (55) 521-29-62,volodymyr26@example.org
Абрамчук,Леонід,Всеволодівна,Чоловік,1986.09.07,Етнограф,село Бердянськ,"парк Штурманська, буд. 866 кв. 92, Моршин, 75836",+380 03 244 20 17,ubabenko@example.net
Чуприна,Борис,Семіонівна,Чоловік,1976.04.27,Водій,селище Привілля,"парк Дігтярна, буд. 28 кв. 18, Жашків, 33869",+380 67 225-87-31,oksanavenhrynovych@example.org
Вернигора,Захар,Маркелівна,Чоловік,1987.07.06,Кінорежисер,селище Рогатин,"площа Студентський, буд. 99 кв. 4, Рені, 88495",+380 62 091 34 23,mariana46@example.org
Червоненко,Сніжана,Лідійовна,Жінка,1961.04.09,Модельєр,село Вільногірськ,"набережна Богдана Хмельницького, буд. 540 кв. 1, Коломия, 15032",+380 07 099-12-58,varvaranalyvaiko@example.com
Якименко,Богуслава,Никифорівна,Жінка,1955.09.13,Парфюмер,селище Глобине,"узвіз Лунний, буд. 2 кв. 25, Українськ, 39813",+380 30 239-71-43,ustym55@example.com
Баштан,Марта,Олексіївна,Жінка,1952.05.28,Електромонтажник,місто Василівка ,"парк Хімічний 2-й, буд. 4 кв. 404, Сорокине, 46362",+380 (20) 590-43-71,pnosenko@example.net
Копитко,Альбіна,Лаврінівна,Жінка,1963.06.22,Професор,місто Берегове,"узвіз Китобійна, буд. 657 кв. 81, Амвросіївка, 47629",364 24 59,stefanhodunok@example.com
Юрчишин,Амвросій,Філімонівна,Чоловік,1988.02.08,Клоун,село Белз,"провулок Учнівська, буд. 35 кв. 688, Путивль, 37984",089 178 74 86,demianholoborodko@example.com
